Category,Country,Customer ID,Order Date,Order ID,Payment Method,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Sports,Canada,7262,11/10/23 0:00,ORDER00001,Credit Card,685,No,1,Standard,8.00%,$932.0,$255,1,3,$28.4,$1K
Electronics,UK,1266,6/19/2023 12:00:00 AM,ORDER00002,PayPal,560,No,5,Next Day,28.00%,$436.8,$349,10,0,$16.2,$3K
Electronics,UK,3793,12/09/23 0:00,ORDER00003,Bank Transfer,630,Yes,3,Express,8.00%,$930.8,$360,3,2,$35.6,$3K
Sports,France,2526,8/26/2023 12:00:00 AM,ORDER00004,Credit Card,193,No,1,Standard,18.00%,$11.7,$5,2,2,$27.4,$0K
Electronics,USA,3355,6/26/2023 12:00:00 AM,ORDER00005,Cash,836,Yes,2,Standard,38.00%,$554.1,$482,5,2,$19.4,$2K
Clothing,USA,2171,7/19/2023 12:00:00 AM,ORDER00006,Cash,764,No,2,Next Day,6.00%,$839.8,"$1,558",10,1,$9.2,$8K
Electronics,UK,8861,12/03/23 0:00,ORDER00007,Cash,708,No,2,Next Day,15.00%,$603.1,$347,6,0,$42.8,$3K
Home,UK,5045,07/03/23 0:00,ORDER00008,Cash,360,Yes,4,Standard,29.00%,$856.0,$600,5,1,$7.9,$3K
Electronics,UK,5169,6/19/2023 12:00:00 AM,ORDER00009,Credit Card,10,No,4,Express,7.00%,$193.6,$425,9,5,$29.1,$2K
Clothing,Germany,5765,07/01/23 0:00,ORDER00010,PayPal,724,No,3,Express,34.00%,$269.3,$192,6,1,$27.8,$1K
Home,France,5161,3/26/2023 12:00:00 AM,ORDER00011,Bank Transfer,278,Yes,2,Next Day,28.00%,$102.0,$73,6,1,$42.2,$0K
Clothing,USA,5469,04/10/23 0:00,ORDER00012,PayPal,755,No,1,Next Day,18.00%,$105.6,$113,5,0,$31.7,$0K
Sports,UK,5179,02/11/23 0:00,ORDER00013,Bank Transfer,805,No,2,Next Day,29.00%,$707.9,$433,4,5,$47.1,$2K
Home,Canada,3144,5/20/2023 12:00:00 AM,ORDER00014,PayPal,600,Yes,5,Next Day,34.00%,$97.1,$43,3,4,$39.2,$0K
Sports,Germany,9762,5/22/2023 12:00:00 AM,ORDER00015,Credit Card,71,Yes,5,Standard,17.00%,$741.0,$158,2,2,$34.7,$1K
Sports,Canada,8326,9/25/2023 12:00:00 AM,ORDER00016,Bank Transfer,473,No,4,Express,33.00%,$751.6,$401,4,2,$14.6,$2K
Books,UK,9117,01/03/23 0:00,ORDER00017,Cash,601,Yes,1,Next Day,25.00%,$70.5,$16,3,2,$25.8,$0K
Books,UK,1804,4/19/2023 12:00:00 AM,ORDER00018,Cash,397,Yes,3,Next Day,19.00%,$125.3,$72,7,3,$30.3,$1K
Books,France,8578,05/08/23 0:00,ORDER00019,Bank Transfer,315,Yes,5,Standard,34.00%,$314.1,$430,10,0,$6.5,$2K
Books,UK,9872,12/21/2023 12:00:00 AM,ORDER00020,PayPal,706,No,5,Next Day,26.00%,$73.8,$56,5,3,$7.6,$0K
Home,USA,7970,11/15/2023 12:00:00 AM,ORDER00021,Bank Transfer,487,Yes,1,Next Day,13.00%,$818.1,$434,3,4,$15.9,$2K
Clothing,USA,2503,11/12/23 0:00,ORDER00022,Cash,552,Yes,4,Next Day,6.00%,$467.7,$50,1,1,$3.3,$0K
Home,USA,3065,11/04/23 0:00,ORDER00023,Bank Transfer,88,Yes,2,Standard,33.00%,$20.0,$14,6,0,$34.3,$0K
Home,Canada,5551,09/06/23 0:00,ORDER00024,Bank Transfer,175,No,5,Express,37.00%,$765.8,$284,5,3,$24.2,$2K
Clothing,Germany,8431,2/24/2023 12:00:00 AM,ORDER00025,Cash,601,No,4,Next Day,24.00%,$421.4,$59,1,3,$44.9,$0K
Books,France,9566,5/15/2023 12:00:00 AM,ORDER00026,Credit Card,850,Yes,1,Next Day,26.00%,$445.1,$240,3,3,$16.7,$1K
Clothing,France,6045,01/02/23 0:00,ORDER00027,Bank Transfer,678,No,4,Express,19.00%,$860.1,$594,4,4,$10.1,$3K
Sports,Germany,4711,12/25/2023 12:00:00 AM,ORDER00028,Credit Card,538,Yes,3,Express,39.00%,$458.7,$79,1,2,$47.8,$0K
Home,UK,5970,6/18/2023 12:00:00 AM,ORDER00029,Bank Transfer,846,No,1,Next Day,24.00%,$802.4,"$1,085",7,3,$34.1,$4K
Home,Canada,1502,7/17/2023 12:00:00 AM,ORDER00030,PayPal,73,No,4,Next Day,30.00%,$407.5,$719,9,5,$11.1,$3K
Clothing,UK,1409,7/16/2023 12:00:00 AM,ORDER00031,Credit Card,778,No,5,Express,28.00%,$88.5,$155,10,2,$3.0,$1K
Home,France,2737,04/01/23 0:00,ORDER00032,PayPal,917,No,3,Express,24.00%,$355.4,$440,7,2,$4.9,$2K
